date,fund,asset,weight
2020-07-06,Combined Maximum Sharpe,PSA,1.2362524769582688e-17
2020-07-06,Combined Maximum Sharpe,QCOM,5.727180026882488e-17
2020-07-06,Combined Maximum Sharpe,SBUX,5.996195949567469e-17
2020-07-06,Combined Maximum Sharpe,SHW,4.764673409444562e-17
2020-07-06,Combined Maximum Sharpe,SLB,0.0
2020-07-06,Combined Maximum Sharpe,SO,0.0
2020-07-06,Combined Maximum Sharpe,T,9.134359991104258e-18
2020-07-06,Combined Maximum Sharpe,TMUS,1.3339664069281876e-16
2020-07-06,Combined Maximum Sharpe,TRX-USD,0.0
2020-07-06,Combined Maximum Sharpe,TTWO,0.0
2020-07-06,Combined Maximum Sharpe,UPS,0.0
2020-07-06,Combined Maximum Sharpe,USB,0.0
2020-07-06,Combined Maximum Sharpe,V,1.1769732050245265e-17
2020-07-06,Combined Maximum Sharpe,WFC,0.0
2020-07-06,Combined Maximum Sharpe,WMT,0.0
2020-07-06,Combined Maximum Sharpe,XLM-USD,0.1999999999999996
2020-07-06,Combined Maximum Sharpe,XOM,8.605283556239696e-17
2020-07-06,Combined Maximum Sharpe,XRP-USD,3.3630633884993305e-17
2020-08-03,Combined Equal Weight,ABBV,0.016666666666666666
2020-08-03,Combined Equal Weight,ABT,0.016666666666666666
2020-08-03,Combined Equal Weight,ADA-USD,0.016666666666666666
2020-08-03,Combined Equal Weight,ADBE,0.016666666666666666
2020-08-03,Combined Equal Weight,AEP,0.016666666666666666
2020-08-03,Combined Equal Weight,AMD,0.016666666666666666
2020-08-03,Combined Equal Weight,AMGN,0.016666666666666666
2020-08-03,Combined Equal Weight,AMT,0.016666666666666666
2020-08-03,Combined Equal Weight,BA,0.016666666666666666
2020-08-03,Combined Equal Weight,BCH-USD,0.016666666666666666
2020-08-03,Combined Equal Weight,BTC-USD,0.016666666666666666
2020-08-03,Combined Equal Weight,CAT,0.016666666666666666
2020-08-03,Combined Equal Weight,CCI,0.016666666666666666
2020-08-03,Combined Equal Weight,CMCSA,0.016666666666666666
2020-08-03,Combined Equal Weight,COP,0.016666666666666666
2020-08-03,Combined Equal Weight,CVX,0.016666666666666666
2020-08-03,Combined Equal Weight,D,0.016666666666666666
2020-08-03,Combined Equal Weight,DD,0.016666666666666666
2020-08-03,Combined Equal Weight,DIS,0.016666666666666666
2020-08-03,Combined Equal Weight,DOW,0.016666666666666666
2020-08-03,Combined Equal Weight,DUK,0.016666666666666666
2020-08-03,Combined Equal Weight,EA,0.016666666666666666
2020-08-03,Combined Equal Weight,EOS-USD,0.016666666666666666
2020-08-03,Combined Equal Weight,ETC-USD,0.016666666666666666
2020-08-03,Combined Equal Weight,ETH-USD,0.016666666666666666
2020-08-03,Combined Equal Weight,GE,0.016666666666666666
2020-08-03,Combined Equal Weight,GILD,0.016666666666666666
2020-08-03,Combined Equal Weight,GS,0.016666666666666666
2020-08-03,Combined Equal Weight,INTC,0.016666666666666666
2020-08-03,Combined Equal Weight,KO,0.016666666666666666
2020-08-03,Combined Equal Weight,LTC-USD,0.016666666666666666
2020-08-03,Combined Equal Weight,MMM,0.016666666666666666
2020-08-03,Combined Equal Weight,MRK,0.016666666666666666
2020-08-03,Combined Equal Weight,MS,0.016666666666666666
2020-08-03,Combined Equal Weight,NEE,0.016666666666666666
2020-08-03,Combined Equal Weight,NEM,0.016666666666666666
2020-08-03,Combined Equal Weight,NKE,0.016666666666666666
2020-08-03,Combined Equal Weight,NUE,0.016666666666666666
2020-08-03,Combined Equal Weight,NVDA,0.016666666666666666
2020-08-03,Combined Equal Weight,O,0.016666666666666666
2020-08-03,Combined Equal Weight,OXY,0.016666666666666666
2020-08-03,Combined Equal Weight,PLD,0.016666666666666666
2020-08-03,Combined Equal Weight,PSA,0.016666666666666666
2020-08-03,Combined Equal Weight,QCOM,0.016666666666666666
2020-08-03,Combined Equal Weight,SBUX,0.016666666666666666
2020-08-03,Combined Equal Weight,SHW,0.016666666666666666
2020-08-03,Combined Equal Weight,SLB,0.016666666666666666
2020-08-03,Combined Equal Weight,SO,0.016666666666666666
2020-08-03,Combined Equal Weight,T,0.016666666666666666
2020-08-03,Combined Equal Weight,TMUS,0.016666666666666666
2020-08-03,Combined Equal Weight,TRX-USD,0.016666666666666666
2020-08-03,Combined Equal Weight,TTWO,0.016666666666666666
2020-08-03,Combined Equal Weight,UPS,0.016666666666666666
2020-08-03,Combined Equal Weight,USB,0.016666666666666666
2020-08-03,Combined Equal Weight,V,0.016666666666666666
2020-08-03,Combined Equal Weight,WFC,0.016666666666666666
2020-08-03,Combined Equal Weight,WMT,0.016666666666666666
2020-08-03,Combined Equal Weight,XLM-USD,0.016666666666666666
2020-08-03,Combined Equal Weight,XOM,0.016666666666666666
2020-08-03,Combined Equal Weight,XRP-USD,0.016666666666666666
2020-08-03,Combined Minimum Variance,ABBV,0.08883983251229303
2020-08-03,Combined Minimum Variance,ABT,1.4745149545802863e-17
2020-08-03,Combined Minimum Variance,ADA-USD,3.314147201564821e-19
2020-08-03,Combined Minimum Variance,ADBE,1.828161468945526e-18
2020-08-03,Combined Minimum Variance,AEP,0.017283846010647346
2020-08-03,Combined Minimum Variance,AMD,1.9877072134666935e-19
2020-08-03,Combined Minimum Variance,AMGN,0.02273772812662887
2020-08-03,Combined Minimum Variance,AMT,2.8176160978349715e-18
2020-08-03,Combined Minimum Variance,BA,0.0
2020-08-03,Combined Minimum Variance,BCH-USD,0.0
2020-08-03,Combined Minimum Variance,BTC-USD,0.00019763321703998032
2020-08-03,Combined Minimum Variance,CAT,1.2363490563239734e-18
2020-08-03,Combined Minimum Variance,CCI,4.660213352966887e-18
2020-08-03,Combined Minimum Variance,CMCSA,0.0015739272843528823
2020-08-03,Combined Minimum Variance,COP,0.0
2020-08-03,Combined Minimum Variance,CVX,0.0
2020-08-03,Combined Minimum Variance,D,2.379999639173733e-18
2020-08-03,Combined Minimum Variance,DD,5.611472907724408e-21
2020-08-03,Combined Minimum Variance,DIS,6.623988902129338e-19
2020-08-03,Combined Minimum Variance,DOW,0.0
2020-08-03,Combined Minimum Variance,DUK,4.056835700443451e-18
2020-08-03,Combined Minimum Variance,EA,0.10116949568340328
2020-08-03,Combined Minimum Variance,EOS-USD,4.551562659774031e-19
2020-08-03,Combined Minimum Variance,ETC-USD,7.036007309749691e-20
2020-08-03,Combined Minimum Variance,ETH-USD,0.0
2020-08-03,Combined Minimum Variance,GE,1.3650429170037657e-18
2020-08-03,Combined Minimum Variance,GILD,0.12791545396263207
2020-08-03,Combined Minimum Variance,GS,0.0
2020-08-03,Combined Minimum Variance,INTC,2.8323990280732906e-18
2020-08-03,Combined Minimum Variance,KO,0.032901990384723634
2020-08-03,Combined Minimum Variance,LTC-USD,7.806081416087991e-19
2020-08-03,Combined Minimum Variance,MMM,0.038214802092636994
2020-08-03,Combined Minimum Variance,MRK,0.07473912744404784
2020-08-03,Combined Minimum Variance,MS,0.0
2020-08-03,Combined Minimum Variance,NEE,1.3196299958752355e-18
2020-08-03,Combined Minimum Variance,NEM,0.1538951991935484
2020-08-03,Combined Minimum Variance,NKE,8.555258886971841e-18
2020-08-03,Combined Minimum Variance,NUE,5.883259879270086e-19
2020-08-03,Combined Minimum Variance,NVDA,1.744119687403182e-18
2020-08-03,Combined Minimum Variance,O,5.053466186945893e-19
2020-08-03,Combined Minimum Variance,OXY,0.0
2020-08-03,Combined Minimum Variance,PLD,0.0
2020-08-03,Combined Minimum Variance,PSA,0.05226849777765583
2020-08-03,Combined Minimum Variance,QCOM,1.260058197179952e-18
2020-08-03,Combined Minimum Variance,SBUX,1.9504929742272545e-18
2020-08-03,Combined Minimum Variance,SHW,3.759204467958267e-18
2020-08-03,Combined Minimum Variance,SLB,0.0
2020-08-03,Combined Minimum Variance,SO,1.0574412158447469e-19
2020-08-03,Combined Minimum Variance,T,0.00639009476017241
2020-08-03,Combined Minimum Variance,TMUS,0.022212881884039058
2020-08-03,Combined Minimum Variance,TRX-USD,0.0
2020-08-03,Combined Minimum Variance,TTWO,0.08232353846834028
2020-08-03,Combined Minimum Variance,UPS,0.05306966121727928
2020-08-03,Combined Minimum Variance,USB,0.0
2020-08-03,Combined Minimum Variance,V,0.0
2020-08-03,Combined Minimum Variance,WFC,0.0
2020-08-03,Combined Minimum Variance,WMT,0.12426628998055878
2020-08-03,Combined Minimum Variance,XLM-USD,1.0454707768119223e-18
2020-08-03,Combined Minimum Variance,XOM,2.2009793254435695e-19
2020-08-03,Combined Minimum Variance,XRP-USD,3.9375593970959756e-18
2020-08-03,Combined Maximum Sharpe,ABBV,0.0
2020-08-03,Combined Maximum Sharpe,ABT,2.1348813793109815e-16
2020-08-03,Combined Maximum Sharpe,ADA-USD,0.19999999999999887
2020-08-03,Combined Maximum Sharpe,ADBE,0.0
2020-08-03,Combined Maximum Sharpe,AEP,4.4536244048157027e-17
2020-08-03,Combined Maximum Sharpe,AMD,0.024880947517141677
2020-08-03,Combined Maximum Sharpe,AMGN,2.6356953754632284e-16
2020-08-03,Combined Maximum Sharpe,AMT,0.0
2020-08-03,Combined Maximum Sharpe,BA,1.8346969653931349e-16
2020-08-03,Combined Maximum Sharpe,BCH-USD,3.526540948142657e-16
2020-08-03,Combined Maximum Sharpe,BTC-USD,6.590540657685473e-16
2020-08-03,Combined Maximum Sharpe,CAT,9.914611568602611e-17
2020-08-03,Combined Maximum Sharpe,CCI,0.0
2020-08-03,Combined Maximum Sharpe,CMCSA,3.967430444837969e-17
2020-08-03,Combined Maximum Sharpe,COP,8.43390082755736e-17
2020-08-03,Combined Maximum Sharpe,CVX,0.0
2020-08-03,Combined Maximum Sharpe,D,0.0
2020-08-03,Combined Maximum Sharpe,DD,0.0
2020-08-03,Combined Maximum Sharpe,DIS,5.069848632327478e-17
2020-08-03,Combined Maximum Sharpe,DOW,1.4115979777061614e-16
2020-08-03,Combined Maximum Sharpe,DUK,0.0
2020-08-03,Combined Maximum Sharpe,EA,0.0
2020-08-03,Combined Maximum Sharpe,EOS-USD,1.0610627910828112e-16
2020-08-03,Combined Maximum Sharpe,ETC-USD,2.436731597363767e-16
2020-08-03,Combined Maximum Sharpe,ETH-USD,0.005802359048770859
2020-08-03,Combined Maximum Sharpe,GE,0.0
2020-08-03,Combined Maximum Sharpe,GILD,0.06435140387911276
2020-08-03,Combined Maximum Sharpe,GS,6.524271329230701e-17
2020-08-03,Combined Maximum Sharpe,INTC,1.4544871441534724e-16
2020-08-03,Combined Maximum Sharpe,KO,0.0
2020-08-03,Combined Maximum Sharpe,LTC-USD,1.1889127962496116e-16
2020-08-03,Combined Maximum Sharpe,MMM,0.0
2020-08-03,Combined Maximum Sharpe,MRK,0.0
2020-08-03,Combined Maximum Sharpe,MS,1.6588644084353468e-17
2020-08-03,Combined Maximum Sharpe,NEE,0.0
2020-08-03,Combined Maximum Sharpe,NEM,0.19999999999999807
2020-08-03,Combined Maximum Sharpe,NKE,0.0
2020-08-03,Combined Maximum Sharpe,NUE,6.544112405382708e-18
2020-08-03,Combined Maximum Sharpe,NVDA,0.10496528955497471
2020-08-03,Combined Maximum Sharpe,O,0.0
2020-08-03,Combined Maximum Sharpe,OXY,1.7466302224216637e-16
2020-08-03,Combined Maximum Sharpe,PLD,0.0
2020-08-03,Combined Maximum Sharpe,PSA,0.0
2020-08-03,Combined Maximum Sharpe,QCOM,2.3312427110662227e-17
2020-08-03,Combined Maximum Sharpe,SBUX,5.50241853653433e-17
2020-08-03,Combined Maximum Sharpe,SHW,1.2329010314585866e-17
2020-08-03,Combined Maximum Sharpe,SLB,1.0110812046569891e-16
2020-08-03,Combined Maximum Sharpe,SO,0.0
2020-08-03,Combined Maximum Sharpe,T,3.586311211956262e-18
2020-08-03,Combined Maximum Sharpe,TMUS,0.0
2020-08-03,Combined Maximum Sharpe,TRX-USD,7.560740293381166e-16
2020-08-03,Combined Maximum Sharpe,TTWO,1.2924915620055564e-16
2020-08-03,Combined Maximum Sharpe,UPS,0.19999999999999876
2020-08-03,Combined Maximum Sharpe,USB,1.0861392716388251e-16
2020-08-03,Combined Maximum Sharpe,V,0.0
2020-08-03,Combined Maximum Sharpe,WFC,1.188037630675652e-16
2020-08-03,Combined Maximum Sharpe,WMT,0.0
2020-08-03,Combined Maximum Sharpe,XLM-USD,0.1999999999999993
2020-08-03,Combined Maximum Sharpe,XOM,5.165354039404389e-17
2020-08-03,Combined Maximum Sharpe,XRP-USD,6.111617105840704e-16
2020-09-01,Combined Equal Weight,ABBV,0.016666666666666666
2020-09-01,Combined Equal Weight,ABT,0.016666666666666666
2020-09-01,Combined Equal Weight,ADA-USD,0.016666666666666666
2020-09-01,Combined Equal Weight,ADBE,0.016666666666666666
2020-09-01,Combined Equal Weight,AEP,0.016666666666666666
2020-09-01,Combined Equal Weight,AMD,0.016666666666666666
2020-09-01,Combined Equal Weight,AMGN,0.016666666666666666
2020-09-01,Combined Equal Weight,AMT,0.016666666666666666
2020-09-01,Combined Equal Weight,BA,0.016666666666666666
2020-09-01,Combined Equal Weight,BCH-USD,0.016666666666666666
2020-09-01,Combined Equal Weight,BTC-USD,0.016666666666666666
2020-09-01,Combined Equal Weight,CAT,0.016666666666666666
2020-09-01,Combined Equal Weight,CCI,0.016666666666666666
2020-09-01,Combined Equal Weight,CMCSA,0.016666666666666666
2020-09-01,Combined Equal Weight,COP,0.016666666666666666
2020-09-01,Combined Equal Weight,CVX,0.016666666666666666
2020-09-01,Combined Equal Weight,D,0.016666666666666666
2020-09-01,Combined Equal Weight,DD,0.016666666666666666
2020-09-01,Combined Equal Weight,DIS,0.016666666666666666
2020-09-01,Combined Equal Weight,DOW,0.016666666666666666
2020-09-01,Combined Equal Weight,DUK,0.016666666666666666
2020-09-01,Combined Equal Weight,EA,0.016666666666666666
2020-09-01,Combined Equal Weight,EOS-USD,0.016666666666666666
2020-09-01,Combined Equal Weight,ETC-USD,0.016666666666666666
2020-09-01,Combined Equal Weight,ETH-USD,0.016666666666666666
2020-09-01,Combined Equal Weight,GE,0.016666666666666666
2020-09-01,Combined Equal Weight,GILD,0.016666666666666666
2020-09-01,Combined Equal Weight,GS,0.016666666666666666
2020-09-01,Combined Equal Weight,INTC,0.016666666666666666
2020-09-01,Combined Equal Weight,KO,0.016666666666666666
2020-09-01,Combined Equal Weight,LTC-USD,0.016666666666666666
2020-09-01,Combined Equal Weight,MMM,0.016666666666666666
2020-09-01,Combined Equal Weight,MRK,0.016666666666666666
2020-09-01,Combined Equal Weight,MS,0.016666666666666666
2020-09-01,Combined Equal Weight,NEE,0.016666666666666666
2020-09-01,Combined Equal Weight,NEM,0.016666666666666666
2020-09-01,Combined Equal Weight,NKE,0.016666666666666666
2020-09-01,Combined Equal Weight,NUE,0.016666666666666666
2020-09-01,Combined Equal Weight,NVDA,0.016666666666666666
2020-09-01,Combined Equal Weight,O,0.016666666666666666
2020-09-01,Combined Equal Weight,OXY,0.016666666666666666
2020-09-01,Combined Equal Weight,PLD,0.016666666666666666
2020-09-01,Combined Equal Weight,PSA,0.016666666666666666
2020-09-01,Combined Equal Weight,QCOM,0.016666666666666666
2020-09-01,Combined Equal Weight,SBUX,0.016666666666666666
2020-09-01,Combined Equal Weight,SHW,0.016666666666666666
2020-09-01,Combined Equal Weight,SLB,0.016666666666666666
2020-09-01,Combined Equal Weight,SO,0.016666666666666666
2020-09-01,Combined Equal Weight,T,0.016666666666666666
2020-09-01,Combined Equal Weight,TMUS,0.016666666666666666
2020-09-01,Combined Equal Weight,TRX-USD,0.016666666666666666
2020-09-01,Combined Equal Weight,TTWO,0.016666666666666666
2020-09-01,Combined Equal Weight,UPS,0.016666666666666666
2020-09-01,Combined Equal Weight,USB,0.016666666666666666
2020-09-01,Combined Equal Weight,V,0.016666666666666666
2020-09-01,Combined Equal Weight,WFC,0.016666666666666666
2020-09-01,Combined Equal Weight,WMT,0.016666666666666666
2020-09-01,Combined Equal Weight,XLM-USD,0.016666666666666666
2020-09-01,Combined Equal Weight,XOM,0.016666666666666666
2020-09-01,Combined Equal Weight,XRP-USD,0.016666666666666666
2020-09-01,Combined Minimum Variance,ABBV,0.07187078280583208
2020-09-01,Combined Minimum Variance,ABT,0.029060982974456445
2020-09-01,Combined Minimum Variance,ADA-USD,0.0
2020-09-01,Combined Minimum Variance,ADBE,0.0
2020-09-01,Combined Minimum Variance,AEP,0.0354298055699072
2020-09-01,Combined Minimum Variance,AMD,2.4901994842181673e-18
2020-09-01,Combined Minimum Variance,AMGN,0.04537690629868151
2020-09-01,Combined Minimum Variance,AMT,0.0
2020-09-01,Combined Minimum Variance,BA,0.0
2020-09-01,Combined Minimum Variance,BCH-USD,0.0
2020-09-01,Combined Minimum Variance,BTC-USD,3.0876245958937552e-18
2020-09-01,Combined Minimum Variance,CAT,6.491660507756956e-18
2020-09-01,Combined Minimum Variance,CCI,1.4311468676808655e-17
2020-09-01,Combined Minimum Variance,CMCSA,0.021126107236256846
2020-09-01,Combined Minimum Variance,COP,1.1768018860332242e-18
2020-09-01,Combined Minimum Variance,CVX,0.0
2020-09-01,Combined Minimum Variance,D,3.7417605894934875e-18
2020-09-01,Combined Minimum Variance,DD,1.2204777300362309e-18
2020-09-01,Combined Minimum Variance,DIS,0.0
2020-09-01,Combined Minimum Variance,DOW,0.0
2020-09-01,Combined Minimum Variance,DUK,0.0
2020-09-01,Combined Minimum Variance,EA,0.08677720880485433
2020-09-01,Combined Minimum Variance,EOS-USD,4.608638021546422e-20
2020-09-01,Combined Minimum Variance,ETC-USD,2.3822228302208836e-18
2020-09-01,Combined Minimum Variance,ETH-USD,0.0
2020-09-01,Combined Minimum Variance,GE,0.0
2020-09-01,Combined Minimum Variance,GILD,0.10832686393360123
