date,fund,return,growth_of_1,drawdown
2020-10-01,Combined Equal Weight,-0.001562893273823109,1.0522426612135598,-0.04900283883316414
2020-10-02,Combined Equal Weight,-0.0039014009552980344,1.048137440689896,-0.052713060066226114
2020-10-05,Combined Equal Weight,0.01548602043938725,1.0643689185197067,-0.038043355152447056
2020-10-06,Combined Equal Weight,-0.012705530442454338,1.0508455468234523,-0.05026552458787892
2020-10-07,Combined Equal Weight,0.012791762050537392,1.0642877130102848,-0.03811674716721514
2020-10-08,Combined Equal Weight,0.012375986354679389,1.0774593232239529,-0.026212493155362115
2020-10-09,Combined Equal Weight,0.005097239337368794,1.0829513912707047,-0.02124886516923541
2020-10-12,Combined Equal Weight,0.00919891238934439,1.0929133662409225,-0.012245419228955834
2020-10-13,Combined Equal Weight,-0.007094862376709561,1.0851592963177767,-0.01925340204149084
2020-10-14,Combined Equal Weight,-0.005074400079080766,1.0796527638987266,-0.02423010265572978
2020-10-15,Combined Equal Weight,-0.0009787547565647092,1.0785960486206225,-0.02518514208406797
2020-10-16,Combined Equal Weight,-0.0027443673832838805,1.0756359848050492,-0.027860392184873017
2020-10-19,Combined Equal Weight,-0.008438004908013394,1.0665597630860284,-0.036063310966891304
2020-10-20,Combined Equal Weight,-0.0004442855628636739,1.0660859059813579,-0.036491574121343406
2020-10-21,Combined Equal Weight,0.0025630509020215,1.068818338424316,-0.034022052981289574
2020-10-22,Combined Equal Weight,0.014929871678356691,1.0847756590644655,-0.019600126188177747
2020-10-23,Combined Equal Weight,-0.0019294311143752628,1.0826826591557497,-0.02149174020923983
2020-10-26,Combined Equal Weight,-0.017704136338239664,1.0635146977470085,-0.038815383848669005
2020-10-27,Combined Equal Weight,-0.00515940031844871,1.0580275996767776,-0.04377452006332827
2020-10-28,Combined Equal Weight,-0.028588688636444745,1.0277799780608532,-0.07111175257547264
2020-10-29,Combined Equal Weight,0.00863545622164991,1.0366553270668861,-0.06309037878003299
2020-10-30,Combined Equal Weight,-0.008113192327080373,1.0282447430215,-0.07069170673008263
2020-11-02,Combined Equal Weight,0.009626351175130556,1.038142988011807,-0.0617458587491051
2020-11-03,Combined Equal Weight,0.01173629843915247,1.050326943941627,-0.0507342281356139
2020-11-04,Combined Equal Weight,0.006319720790986541,1.0569647169665883,-0.044735133500990565
2020-11-05,Combined Equal Weight,0.02256991149966231,1.0808203170867898,-0.023174890005371207
2020-11-06,Combined Equal Weight,0.008030782032204838,1.0895001494692922,-0.01533022046342003
2020-11-09,Combined Equal Weight,0.023912903323439316,1.115553261214424,0.0
2020-11-10,Combined Equal Weight,0.007947193728070692,1.1244187790952762,0.0
2020-11-11,Combined Equal Weight,0.004242761209353324,1.1291894194742902,0.0
2020-11-12,Combined Equal Weight,-0.010664166536831068,1.1171475554533887,-0.01066416653683111
