date,Bitcoin,S&P 500
2014-02-07,-0.37302752177363974,-0.026843877144253403
2014-02-08,-0.4028874301940283,-0.026843877144253403
2014-02-09,-0.3943197348107711,-0.026843877144253403
2014-02-10,-0.3960366265213957,-0.02521676010683871
2014-02-11,-0.4079825443283872,-0.014364498297108064
2014-02-12,-0.42396051225013587,-0.014177227551784632
2014-02-13,-0.45995152989685717,-0.00821004231015543
2014-02-14,-0.41072375560629837,-0.003427631134174991
2014-02-15,-0.42342190803190116,-0.003427631134174991
2014-02-16,-0.45084798458783926,-0.003427631134174991
2014-02-17,-0.44372485059123223,-0.003427631134174991
2014-02-18,-0.44730465454797574,-0.002131090482280551
2014-02-19,-0.4505926257304781,-0.008466560188808425
2014-02-20,-0.5032579516598252,-0.0023864771358862447
2014-02-21,-0.4886705124949484,-0.004130305573852744
2014-02-22,-0.4650564881199978,-0.004130305573852744
2014-02-23,-0.4624504378831463,-0.004130305573852744
2014-02-24,-0.522203497270066,0.0
2014-02-25,-0.5297449222864685,-0.0013009999999998856
2014-02-26,-0.4822787014874782,-0.0009254891759999939
2014-02-27,-0.4842036293287396,0.0
2014-02-28,-0.5142487319456658,0.0
2014-03-01,-0.4999399787976557,0.0
2014-03-02,-0.5078757198397259,0.0
2014-03-03,-0.40392411602192035,-0.007365999999999984
2014-03-04,-0.40568134283656276,0.0
2014-03-05,-0.4093578163915519,0.0
2014-03-06,-0.411671625995806,0.0
2014-03-07,-0.44334095198018386,0.0
2014-03-08,-0.4523689630263631,0.0
2014-03-09,-0.43557961269579937,0.0
2014-03-10,-0.44652973625191805,-0.0004940000000002165
2014-03-11,-0.4416108548270815,-0.005527512216000008
2014-03-12,-0.44080641429986134,-0.004917900580988732
2014-03-13,-0.43306561982515934,-0.016455877523752216
2014-03-14,-0.4463910946347558,-0.01918816309599114
2014-03-15,-0.43942146258075077,-0.01918816309599114
2014-03-16,-0.44122751675269856,-0.01918816309599114
2014-03-17,-0.45127982825684165,-0.009767465402528153
2014-03-18,-0.4587258190418353,-0.002545699527708778
2014-03-19,-0.4620725477179395,-0.0087219365562331
2014-03-20,-0.48313425264965537,-0.0027484949459211094
2014-03-21,-0.4980365324990419,-0.005711329167436663
2014-03-22,-0.5024372281139091,-0.005711329167436663
2014-03-23,-0.5074958253199998,-0.005711329167436663
2014-03-24,-0.48453023484841273,-0.010430223199207944
2014-03-25,-0.48563343853830876,-0.0060592934950789434
2014-03-26,-0.48962252138386264,-0.013038745136156438
2014-03-27,-0.5742794155785762,-0.014731383688248001
2014-03-28,-0.560624577064989,-0.010127223444223454
2014-03-29,-0.5686817148857752,-0.010127223444223454
2014-03-30,-0.5956002342830589,-0.010127223444223454
2014-03-31,-0.59878189933889,-0.002223089323425631
2014-04-01,-0.5779409088655729,0.0
2014-04-02,-0.6131826371860087,0.0
2014-04-03,-0.603992961616943,-0.0011830000000003782
2014-04-04,-0.6037473802422747,-0.013770091834000131
2014-04-05,-0.5932133047972414,-0.013770091834000131
2014-04-06,-0.5958935097071486,-0.013770091834000131
2014-04-07,-0.6046854051230808,-0.024293164954131474
2014-04-08,-0.6010307166608584,-0.020095674149763876
2014-04-09,-0.60981107692609,-0.009298108383220538
2014-04-10,-0.6767103302932789,-0.03011275512608902
2014-04-11,-0.6282213892709468,-0.039277219702902655
2014-04-12,-0.626167800067257,-0.039277219702902655
2014-04-13,-0.633139045378863,-0.039277219702902655
2014-04-14,-0.5937129689006049,-0.03132243508204258
2014-04-15,-0.5403996067696633,-0.024828420686832886
2014-04-16,-0.5317060946308831,-0.01453841018192048
2014-04-17,-0.5595881957167853,-0.013213949805204961
2014-04-18,-0.5744062945894828,-0.013213949805204961
2014-04-19,-0.5555984917410486,-0.013213949805204961
2014-04-20,-0.558073010177387,-0.013213949805204961
2014-04-21,-0.5611328000517549,-0.00952336997747627
2014-04-22,-0.5686936217803389,-0.00549609199980472
2014-04-23,-0.5676984456073854,-0.0076342754020051196
2014-04-24,-0.5565446223738966,-0.005982978836273967
2014-04-25,-0.5890272928638679,-0.014226361992784597
2014-04-26,-0.5953708095333942,-0.014226361992784597
2014-04-27,-0.6134488458629053,-0.014226361992784597
2014-04-28,-0.6109478667968863,-0.011035412726555172
2014-04-29,-0.6055183573193603,-0.006232011726168163
2014-04-30,-0.6044911728670787,-0.0031284742987890413
2014-05-01,-0.5945179053591834,-0.003175327260496963
2014-05-02,-0.6015270626267175,-0.004548951659532063
2014-05-03,-0.6132116296827407,-0.004548951659532063
2014-05-04,-0.6152409925807669,-0.004548951659532063
2014-05-05,-0.619062559623511,-0.0026595855697818527
