trading_date,ticker,sector,article_count,text,word_count
2020-02-19,GILD,Healthcare,4,"3 Contrarian Stocks to Buy Now for Absolute Returns | Gilead Sciences Option Alert: Mar 20 $75 Calls Sweep (28) near the Ask: 500 @ $0.52 vs 14425 OI; Ref=$67.3588 | Gilead to Present at the Cowen and Company 40th Annual Health Care Conference on Monday, March 2, 2020 | Where Will Gilead Sciences Be in 10 Years?",58
2020-02-19,MRK,Healthcare,9,"Dow Analyst Moves: MRK | Elanco Signs Agreement with Merck Animal Health to Divest Worldwide Rights for Vecoxan | FDA Rejects New Dosing for Merck's Cancer Drug Keytruda | Health Care Sector Update for 02/19/2020: JNJ, PFE, ABT, MRK, AMGN, MREO, AMED, CTSO | Is Merck & Co. Stock a Buy? | Jim Simons: The Investing Guru Bets on These 3 Healthcare Stocks | Merck Receives CRL from FDA for sBLAs for KEYTRUDA Six-Week Dosing Schedule | The Daily Biotech Pulse: FDA Snub For Merck, Priority Review For Roche's Tecentriq sBLA | Vanguard Value ETF Experiences Big Inflow",98
2020-02-19,BA,Industrials,3,"Boeing Finds Debris In Undelivered 737 MAX Jets' Fuel Tanks | Dow Jones Today: China Steps Up, Help on the Home Front | Dow Movers: BA, DOW",27
2020-02-19,CAT,Industrials,1,"Goldman Sachs: 2 Industrial Stocks to Snap Up, 1 to Avoid",11
2020-02-19,GE,Industrials,1,Institutional Investors Indicate Better Days Are Ahead for General Electric,10
2020-02-19,MMM,Industrials,1,"MMM Stock Has Disappointed Many Traders, but I Like Its Prospects",11
2020-02-19,DOW,Materials,2,"A Dow Without Boeing (BA) | Dow Movers: BA, DOW",10
2020-02-19,NEM,Materials,2,"Gold, Silver, & GDX The Sun Is Shining | Stocks That Hit 52-Week Highs On Wednesday",16
2020-02-19,SHW,Materials,4,"Daily Dividend Report: SHW,ADI,WM,LEG,NAVI | Global Oil Pump Market —…—… Research Report by Manufactures, Types, Applications and ... | Sherwin-Williams Declares Dividend of $–.'4 per Common Share | Sherwin-Williams Raises Quarterly Dividend From $1.13 To $1.34/Share",36
2020-02-19,AMT,RealEstate,3,"American Tower Corp Just Within Buy Range As Quarterly Report Nears | Citigroup Maintains Neutral on American Tower, Raises Price Target to $280 | Extra Space Storage (EXR) Q4 FFO & Revenues Beat Estimates",34
2020-02-19,CCI,RealEstate,2,"Citigroup Maintains Neutral on Crown Castle Intl, Raises Price Target to $176 | Stocks That Hit 52-Week Highs On Wednesday",20
2020-02-19,O,RealEstate,3,"Realty Income Corp. Earnings Advance In Q4 | Realty Income Corp. Issues FY20 Earnings Guidance | Realty Income Q4 EPS $0.39 Beats $0.34 Estimate, Sales $397.5M Beat $388.01M Estimate",29
2020-02-19,PLD,RealEstate,1,PLD Crosses Above Average Analyst Target,6
2020-02-19,PSA,RealEstate,2,"Extra Space Storage (EXR) Q4 FFO & Revenues Beat Estimates | Wednesday's ETF Movers: TAN, REZ",16
2020-02-19,ADBE,Tech,2,"Stocks That Hit 52-Week Highs On Wednesday | UBS Maintains Buy on Adobe, Raises Price Target to $430",18
2020-02-19,AMD,Tech,6,"4 Breakout Stocks To Watch: 2/19/2020 | Here Are the Pros and Cons of AMD CEO Lisa Su Joining Cisco’s Board | Shares of several semiconductor companies are trading higher potentially on a rebound following weakness in the sector amid concerns of the coronavirus impeding production and demand. | Stocks That Hit 52-Week Highs On Wednesday | Synopsys Announces AMD Has Deployed Co.'s Fusion Compiler RTL-to-GDSII Product | Why AMD's Coronavirus Impact Could Be Worse Than Intel, Nvidia",78
2020-02-19,INTC,Tech,7,"7 5G Stocks to Buy Now for the Future | Chris Davis' Firm Buys Intel, Sells Microsoft | Does Nvidia's (NVDA) Tremendous Rally Have Legs? | HP (HPQ) Set to Report Q1 Earnings: What's in the Cards? | Here Are the Pros and Cons of AMD CEO Lisa Su Joining Cisco’s Board | Squirrels Research Labs Reveals Intel® FPGAs in Power-Efficient Next Generation Ethereum ... | US Indexes Close Higher Wednesday With China's Support Comments",75
2020-02-19,NVDA,Tech,9,"10 Biggest Price Target Changes For Wednesday | 51 Stocks Moving In Wednesday's Mid-Day Session | A Peek Into The Markets: US Stock Futures Up Ahead Of Economic Data, Fed Minutes | Autonomous Yard Trucking Startup Drives Out Of Stealth With $53M In Series A | Bernstein Upgrades NVIDIA to Outperform, Raises Price Target to $360 | NVIDIA shares are trading higher after Bernstein upgraded the stock from Market Perform to Outperform and raised its price target from $300 to $360 per share. | Stocks That Hit 52-Week Highs On Wednesday | Unfazed FAANGs: Pullback In Apple Didn't Carry Over To Other Big Tech Names | Why AMD's Coronavirus Impact Could Be Worse Than Intel, Nvidia",116
2020-02-19,QCOM,Tech,4,"Notable Wednesday Option Activity: AAN, RAMP, QCOM | Qualcomm Option Alert: Apr 17 $100 Calls at the Ask: 2900 @ $0.921 vs 7435 OI; Ref=$89.8718 | Shares of several semiconductor companies are trading higher potentially on a rebound following weakness in the sector amid concerns of the coronavirus impeding production and demand. | Unfazed FAANGs: Pullback In Apple Didn't Carry Over To Other Big Tech Names",66
2020-02-19,D,Utilities,1,Stocks That Hit 52-Week Highs On Wednesday,7
2020-02-19,NEE,Utilities,11,"3 Utilities Stocks Moving In Wednesday's Pre-Market Session | 5 Ideal Dividend Stocks for New Investors | NextEra Energy To Sell $2.5 Bln Of Equity Units | NextEra Energy announces sale of equity units | NextEra Energy shares are trading lower after the company announced it would sell $2.5 billion of its equity units. | Stock Alert: NextEra Energy Loses 2% | Top Buys by Directors: Porges's $826.5K Bet on NEE | Top Research Reports for Facebook, Netflix & NextEra Energy | Tortoise Capital Advisors, L.l.c. Buys KNOT Offshore Partners LP, Sempra Energy, NextEra Energy ... | Wednesday 2/19 Insider Buying Report: NEE, ADVM | Wednesday Sector Laggards: Utilities, Healthcare",110
2020-02-19,SO,Utilities,1,Is a Surprise Coming for Southern Company (SO) This Earnings Season?,11
2020-02-20,CMCSA,Comm,3,"How Shaquille O'Neal Negotiates, Picks His Portfolio | Sling TV Starts Losing Subscribers As Streaming Wars Intensify | TipRanks’ ”Pick-And-Shovel” Plays: LHX, CMCSA, DAL",24
2020-02-20,T,Comm,4,"7 Strong Value Stocks to Buy for 2020 | An Earnings Disappointment Sets Up a Discount for Cisco Stock Investors | Better Buy: Bank of America vs. Wells Fargo | YouTube TV to Add HBO and Cinemax to Menu, HBO Max Later",42
2020-02-20,TMUS,Comm,8,"'Sprint and T-Mobile agree to give Deutsche Telekom slightly higher stake in combined company' -CNBC | An Earnings Disappointment Sets Up a Discount for Cisco Stock Investors | Breakingviews - SoftBank gives only an inch to clear Sprint static | Sprint, T-Mobile Near Deal On New Merger Terms | T-Mobile US, Sprint Announce Amendment To Business Combination - Quick Facts | T-Mobile, Sprint Report Amended Business Combo Deal | UPDATE: Exchange Ratio For Sprint, T-Mobile Deal Up From 9.75 Sprint Shares To 11 Sprint Shares | UPDATE: Exchange Ratio For Sprint, T-Mobile Deal: 11 Sprint Shares For Each T-Mobile Share",100
